Year,citymarketid_1,citymarketid_2,city1,city2,airportid_1,airportid_2,airport_1,airport_2,fare
2025,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11259,ABQ,DAL,208.09
2025,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",10140,11298,ABQ,DFW,248.95
2025,30140,30466,"Albuquerque, NM","Phoenix, AZ",10140,14107,ABQ,PHX,191.02
2025,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,10821,ABQ,BWI,299.34
2025,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,11278,ABQ,DCA,281.6
2025,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",10140,12264,ABQ,IAD,311.46
2025,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13232,ABQ,MDW,251.49
2025,30140,30977,"Albuquerque, NM","Chicago, IL",10140,13930,ABQ,ORD,287.42
2025,30140,31453,"Albuquerque, NM","Houston, TX",10140,12191,ABQ,HOU,252.4
2025,30140,31453,"Albuquerque, NM","Houston, TX",10140,12266,ABQ,IAH,318.26
2025,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,11618,ABQ,EWR,317.99
2025,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12197,ABQ,HPN,308.36
2025,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12391,ABQ,ISP,279.44
2025,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12478,ABQ,JFK,217.94
2025,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",10140,12953,ABQ,LGA,285.05
2025,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,13796,ABQ,OAK,239.25
2025,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14771,ABQ,SFO,291.73
2025,30140,32457,"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",10140,14831,ABQ,SJC,230.91
2025,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,10800,ABQ,BUR,213.34
2025,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12892,ABQ,LAX,212.34
2025,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,12954,ABQ,LGB,183.12
2025,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,13891,ABQ,ONT,234.25
2025,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",10140,14908,ABQ,SNA,248.53
2025,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,11697,ACY,FLL,121.35
2025,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",10158,13303,ACY,MIA,211.75
2025,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11259,COS,DAL,201.79
2025,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",11109,11298,COS,DFW,241.79
2025,30189,30466,"Colorado Springs, CO","Phoenix, AZ",11109,10466,COS,AZA,71.13
2025,30189,30466,"Colorado Springs, CO","Phoenix, AZ",11109,14107,COS,PHX,192.61
2025,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",11109,10821,COS,BWI,279.4
2025,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",11109,11278,COS,DCA,318.79
2025,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",11109,12264,COS,IAD,310.94
2025,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,10800,COS,BUR,226.86
2025,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12892,COS,LAX,254.54
2025,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,12954,COS,LGB,198.37
2025,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,13891,COS,ONT,224.89
2025,30189,32575,"Colorado Springs, CO","Los Angeles, CA (Metropolitan Area)",11109,14908,COS,SNA,255.7
2025,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11259,14122,DAL,PIT,252.52
2025,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",11298,14122,DFW,PIT,314.74
2025,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11259,11292,DAL,DEN,164.31
2025,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",11298,11292,DFW,DEN,188.77
2025,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11259,15376,DAL,TUS,230.84
2025,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",11298,15376,DFW,TUS,271.66
2025,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",11259,14107,DAL,PHX,196.42
2025,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",11298,14107,DFW,PHX,231.27
2025,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",11259,10529,DAL,BDL,257.01
2025,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",11298,10529,DFW,BDL,304.39
2025,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",11259,14747,DAL,SEA,213.78
