Destination,IATA,Search_Term,Full_Country,iso_country,Region,Base_Flight_Cost,Daily_Cost_Budget,Daily_Cost_Luxury,Seasonality,latitude_deg,longitude_deg,Popularity_Score,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Abadan, IR",ABD,"Abadan, Iran, Islamic Republic of","Iran, Islamic Republic of",IR,Asia,1200.0,43.849999999999994,121.69999999999999,Varies (Nov-Mar ideal),30.367887,48.230075,15.0,,,,,,,,,,,,
"Abakan, RU",ABA,"Abakan, Russian Federation",Russian Federation,RU,Europe,850.0,51.5,143.0,Summer Peak (Jun-Aug),53.740002,91.385002,15.0,,,,,,,,,,,,
"Abbotsford, CA",YXX,"Abbotsford, Canada",Canada,CA,North America,400.0,100.93,301.90000000000003,Year-round,49.025299,-122.361,28.8,-12.373333333333333,-10.9,-6.066666666666666,1.4600000000000004,8.246666666666666,13.826666666666666,17.146666666666665,16.206666666666667,11.3,4.586666666666667,-3.2333333333333334,-9.413333333333332
"Aberdeen, GB",ABZ,"Aberdeen, United Kingdom",United Kingdom,GB,Europe,850.0,123.505,358.81,Summer Peak (Jun-Aug),57.2019,-2.19778,36.599999999999994,4.25,4.5,6.550000000000001,8.399999999999999,11.45,14.3,16.3,16.1,13.65,10.350000000000001,6.95,4.45
"Abha, SA",AHB,"Abha, Saudi Arabia",Saudi Arabia,SA,Asia,1200.0,73.6,192.39999999999998,Varies (Nov-Mar ideal),18.2404,42.656601,32.4,13.0,14.0,16.0,18.0,21.0,23.0,23.0,22.0,21.0,18.0,15.0,13.0
"Abidjan, CI",ABJ,"Abidjan, Côte d'Ivoire",Côte d'Ivoire,CI,Other,800.0,73.66134453781513,211.9109243697479,Year-round,5.26139,-3.92629,15.0,,,,,,,,,,,,
"Abu Dhabi, AE",AUH,"Abu Dhabi, United Arab Emirates",United Arab Emirates,AE,Asia,1200.0,122.125,477.96999999999997,Varies (Nov-Mar ideal),24.440966,54.649237,53.0,,,,,,,,,,,,
"Abu Simbel, EG",ABS,"Abu Simbel, Egypt",Egypt,EG,Africa,1100.0,33.35,81.5,Year-round,22.374402,31.609881,23.2,13.5,14.4,16.299999999999997,19.85,22.85,25.8,26.75,26.85,25.55,22.65,18.799999999999997,14.95
"Abuja, NG",ABV,"Abuja, Nigeria",Nigeria,NG,Africa,1100.0,58.14999999999999,204.7,Year-round,9.00679,7.26317,15.0,25.54,26.98,28.98,29.72,28.96,27.160000000000004,25.48,25.32,26.32,27.080000000000002,26.580000000000002,25.5
"Acapulco, MX",ACA,"Acapulco, Mexico",Mexico,MX,North America,400.0,68.05000000000001,198.10000000000002,Year-round,16.757126,-99.753113,32.5,15.763636363636364,17.027272727272727,19.054545454545455,21.318181818181817,23.5,24.763636363636362,25.336363636363636,25.363636363636363,24.38181818181818,21.963636363636365,18.900000000000002,16.400000000000002
"Accra, GH",ACC,"Accra, Ghana",Ghana,GH,Africa,1100.0,103.98,353.04,Year-round,5.605189800262451,-0.1667860001325607,15.0,27.3,27.7,27.7,27.7,27.2,25.6,24.4,24.3,25.2,26.0,27.0,27.2
"Ad Dammam, SA",DMM,"Ad Dammam, Saudi Arabia",Saudi Arabia,SA,Asia,1200.0,78.875,207.59,Varies (Nov-Mar ideal),26.4691,49.798209,32.4,13.5,15.0,18.5,22.0,26.5,28.5,29.5,28.5,26.5,22.5,18.0,14.5
"Addis Ababa, ET",ADD,"Addis Ababa, Ethiopia",Ethiopia,ET,Other,800.0,89.325,293.73,Year-round,8.97789,38.799301,15.0,16.0,17.0,17.0,17.0,18.0,17.0,15.0,16.0,16.0,16.0,15.0,15.0
"Adelaide, AU",ADL,"Adelaide, Australia",Australia,AU,Oceania,1600.0,125.375,378.71,Winter Peak (Dec-Feb),-34.947512,138.533393,24.0,23.2,23.3,20.9,17.6,13.5,12.1,11.4,12.4,14.4,16.7,19.7,21.3
"Aden, YE",ADE,"Aden, Yemen",Yemen,YE,Other,800.0,73.66134453781513,211.9109243697479,Year-round,12.829564,45.029976,15.0,25.7,26.0,27.2,28.9,31.0,32.7,32.7,31.5,31.6,28.9,27.1,26.0
"Agadir, MA",AGA,"Agadir, Morocco",Morocco,MA,Africa,1100.0,47.95,125.5,Year-round,30.322478,-9.412003,13.0,11.366666666666667,12.933333333333332,14.933333333333332,16.7,19.900000000000002,23.166666666666668,26.666666666666668,26.5,23.8,19.833333333333332,15.299999999999999,11.766666666666666
"Aguadilla, PR",BQN,"Aguadilla, Puerto Rico",Puerto Rico,PR,North America,400.0,104.69999999999999,287.4,Year-round,18.4949,-67.129402,15.0,25.3,25.5,26.1,26.8,27.7,28.5,28.6,28.7,28.6,28.1,27.0,24.8
